,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,LandBase,,,,,,,,,,,
,,,,,,,,,,,,
,TREE SPECIES,,,,,,,,,,,
,,,,,,,,,,,,
,Value,Description,Notes,LiveDead,HWSW,Grp,Group,Description,,,,
,  ,Blank,,-,-,-,,,,,,
,AL,Speckled alder (Alnus rugosa),,LIVE,HW,NC,HW-NC,Aulne rugueux (Alnus rugosa),,,,
,AP,"Austrian pine (Pinus nigra), from silviculture records",,LIVE,SW,SW,SW,"Pin noir d'Autriche (Pinus nigra), selon les registres de sylviculture",,,,
,AS,"Ash (Fraxinus spp.), from silviculture records",,LIVE,HW,AS,HW,"Frêne (Fraxinus spp.), selon les registres de sylviculture",,,,
,BA,basswood,,LIVE,HW,HW,HW,,,,,
,BC,Black cherry,added Jan 2020,LIVE,HW,NC,HW-NC,,,,,
,BE,Beech (Fagus grandifolia),,LIVE,HW,HW,HW,Hêtre (Fagus grandifolia),,,,
,BF,Balsam fir (Abies balsamea),,LIVE,SW,BF,SW,Sapin baumier (Abies balsamea),,,,
,BH,Black ash,added Apr 2018,LIVE,HW,AS,HW,,,,,
,BL,Black locust,added Jan 2020,LIVE,HW,NC,HW-NC,,,,,
1,BI,White birch and/or gray birch (Betula spp.),,LIVE,HW,BI,HW,Bouleau blanc et/ou bouleau gris (Betula spp.),,,,
,BO,Bur oak,added Jan 2020,LIVE,HW,HW,HW,,,,,
,BP,Balsam poplar (Populus balsamifera),,LIVE,HW,PO,HW,Peuplier baumier (Populus balsamifera),,,,
,BS,Black spruce (Picea mariana),,LIVE,SW,SP,SW,Épinette noire (Picea mariana),,,,
,BU,Butternut,,LIVE,HW,HW,HW,,,,,
1,DF,Merchantable dead fir,,DEAD,DD,DD,SW,,,,,
1,DP,Merchantable dead pine,added May 2018,DEAD,DD,DD,SW,,,,,
1,DS,Merchantable dead spruce,,DEAD,DD,DD,SW,,,,,
,EB,"European birch (Betula pendula), from silviculture records",,LIVE,HW,HW,HW,"Bouleau verruqueux (Betula pendula), selon les registres de sylviculture",,,,
,EC,Eastern white cedar (Thuja occidentalis),,LIVE,SW,SW,SW,Thuya occidental (Thuja occidentalis),,,,
,EH,Eastern hemlock (Tsuga canadensis),,LIVE,SW,SW,SW,Pruche du Canada (Tsuga canadensis),,,,
,EL,"European larch (Larix decidua), from silviculture records",,LIVE,SW,SW,SW,"Mélèze d'Europe (Larix decidua), selon les registres de sylviculture",,,,
,EM,American elm,added Jan 2020,LIVE,HW,HW,HW,,,,,
,FD,Douglas fir,added Jan 2020,LIVE,SW,SW,SW,,,,,
1,FS,Mix of balsam fir and spruce with fir predominant,,LIVE,SW,BF,SW,Mélange de sapin baumier et d'épinette à prédominance de sapin,,,,
,GA,Green ash,added Jan 2020,LIVE,HW,HW,HW,,,,,
,GB,"Gray birch (Betula populifolia), from silviculture records",,LIVE,HW,NC,HW-NC,"Bouleau gris (Betula populifolia), selon les registres de sylviculture",,,,
,HL,"Honey locust (Gleditsia triacanthos), from silviculture records",,LIVE,HW,NC,HW-NC,"Févier épineux (Gleditsia triacanthos), selon les registres de sylviculture",,,,
1,HW,"Mix of shade tolerant hardwood and shade intolerant hardwood, or unspecified hardwood in regenerating stage",,LIVE,HW,HW,HW,"Mélange de feuillus tolérants à l'ombre et de feuillus intolérants à l'ombre, ou feuillus non spécifiés au stade de régénération",,,,
1,IH,"Shade intolerant hardwoods -white birch, gray birch and/or poplars",,LIVE,HW,IH,HW,"Feuillus intolérants à l'ombre - bouleau blanc, bouleau gris et/ou peupliers",,,,
,IR,"Ironwood (Ostrya virginiana), from silviculture records",changed Jan 2020 from I,LIVE,HW,HW,HW,"Ostryer de Virginie (Ostrya virginiana), selon les registres de sylviculture",,,,
,JF,"Japanese fir (Abies firma), from silviculture records",,LIVE,SW,SW,SW,"Pin du Japon (Abies firma), selon les registres de sylviculture",,,,
,JL,"Japanese Larch (Larix kaempferi), from silviculture records",,LIVE,SW,SW,SW,"Mélèze du Japon (Larix kaempferi), selon les registres de sylviculture",,,,
,JP,Jack pine (Pinus banksiana),,LIVE,SW,PI,SW,Pin gris (Pinus banksiana),,,,
,LA,"Largetooth aspen (Populus grandidenta), from silviculture records",,LIVE,HW,PO,HW,"Peuplier à grandes dents (Populus grandidenta), selon les registres de sylviculture",,,,
,LP,"Lodgepole pine (Pinus contorta), from silviculture records",,LIVE,SW,PO,SW,"Pin tordu latifolié (Pinus contorta), selon les registres de sylviculture",,,,
,MA,"Maple -red and sugar maple, from silviculture records",,LIVE,HW,MA,HW,"Érable - rouge et à sucre, selon les registres de sylviculture",,,,
,MS,"Multiple species, from silviculture records",,LIVE,UK,UK,OTHER,"Plusieurs essences, selon les registres de sylviculture",,,,
,MT,Mountain maple,added Jan 2020,LIVE,HW,NC,HW-NC,,,,,
1,NC,"Pin cherry, choke cherry, alders, willows, mountain maple, striped maple, mountain ash, serviceberry, hawthorn and/or apple",,LIVE,HW,NC,HW-NC,"Cerisier de Pennsylvanie, cerisier de Virginie, aulnes, saules, érable à épis, érable de Pennsylvanie, sorbier, amélanchier, aubépine et/ou pommier",,,,
,NR,Natural Regeneration (species unknown),,LIVE,UK,UK,OTHER,Régénération naturelle (essences inconnues),,,,
,NS,"Norway spruce (Picea abies), from silviculture records",,LIVE,SW,SP,SW,"Épinette de Norvège (Picea abies), selon les registres de sylviculture",,,,
,OA,"Non-specific Oak (Quercus spp.), from silviculture records",changed Jan 2020 from O,LIVE,HW,HW,HW,"Chêne non spécifié (Quercus spp.), selon les registres de sylviculture",,,,
1,OH,"Other hardwood -oak, ash, elm, basswood, butternut and/or ironwood (also YB and BE for DATAYR < 1996)",,LIVE,HW,HW,HW,"Autre feuillu - chêne, frêne, orme, tilleul d'Amérique, noyer cendré et/ou ostryer de Virginie (aussi BJ et HE pour ANDO < 1996)",,,,
1,OS,"Other softwood -cedar, hemlock and/or larch",,LIVE,SW,SW,SW,"Autre résineux - cèdre, pruche et/ou mélèze",,,,
,PC,Pin cherry,added Jan 2020,LIVE,HW,NC,HW-NC,,,,,
1,PI,"Pine - mix of jack, red and/or white pine",,LIVE,SW,PI,SW,"Pin - Mélange de pins gris, rouges et/ou blancs",,,,
1,PO,"Poplar (Populus spp.)-trembling aspen, large tooth aspen and/or balsam poplar/",,LIVE,HW,PO,HW,"Peuplier (Populus spp.) - tremble, peuplier à grandes dents et/ou peuplier baumier/",,,,
,PS,"Scots pine (Pinus sylvestris), from silviculture records",,LIVE,SW,PI,SW,"Pin sylvestre (Pinus sylvestris), selon les registres de sylviculture",,,,
,RM,Red maple (Acer rubrum),,LIVE,HW,MA,HW,Érable rouge (Acer rubrum),,,,
,RO,Red oak,added Jan 2020,LIVE,HW,HW,HW,,,,,
,RP,Red pine (Pinus resinosa),,LIVE,SW,PI,SW,Pin rouge (Pinus resinosa),,,,
,RS,Red spruce (Picea rubens),,LIVE,SW,SP,SW,Épinette rouge (Picea rubens),,,,
1,SF,Mix of spruce and balsam fir with spruce predominant,,LIVE,SW,SP,SW,Mélange d'épinette et de sapin baumier à prédominance d'épinette,,,,
,SI,silver maple,added Jan 2020,LIVE,HW,MA,HW,,,,,
,SM,Sugar maple (Acer saccharum),,LIVE,HW,MA,HW,Érable à sucre (Acer saccharum),,,,
1,SP,Red and/or white spruce,,LIVE,SW,SP,SW,Épinette rouge et/ou blanche,,,,
,ST,Striped maple,added Jan 2020,LIVE,HW,MA,HW-NC,,,,,
1,SW,"Mix of softwood species, or unspecified softwood in regeneration",,LIVE,SW,SW,SW,"Mélange d'essences de résineux, ou feuillus non spécifiés en cours de régénération",,,,
,TA,"Trembling apsen (Populus tremuloides), from silviculture records",,LIVE,HW,PO,HW,"Tremble (Populus tremuloides), selon les registres de sylviculture",,,,
1,TH,"Shade tolerant hardwoods -red maple, sugar maple, yellow birch, beech and/or OH group",,LIVE,HW,HW,HW,"Feuillus tolérants à l'ombre - érable rouge, érable à sucre, bouleau jaune, hêtre et/ou groupe AF",,,,
,TL,Eastern larch (Larix laricina),,LIVE,SW,SW,SW,Mélèze laricin (Larix laricina),,,,
,WA,"White ash (Fraxinus americana), from silviculture records",,LIVE,HW,AS,HW,"Frêne blanc (Fraxinus americana), selon les registres de sylviculture",,,,
,WB,"White birch (Betula papyrifera), from silviculture records",,LIVE,HW,BI,HW,"Bouleau blanc (Betula papyrifera), selon les registres de sylviculture",,,,
,WC,"Western redcedar (Thuja plicata), from silviculture records",,LIVE,SW,SW,SW,"Cèdre de l'Ouest (Thuja plicata), selon les registres de sylviculture",,,,
,WP,White pine (Pinus strobus),,LIVE,SW,PI,SW,Pin blanc (Pinus strobus),,,,
,WS,White spruce (Picea glauca),,LIVE,SW,SP,SW,Épinette blanche (Picea glauca),,,,
